date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:13:28	387/387	---M-Z	200	added ('OK')	text/plain	date:Sat,%2023%20Nov%202024%2022:50:10%20GMT	https://www.indigenousoutsiders.com/robots.txt		(from )
20:13:28	332598/332598	---MCZ	200	added ('OK')	text/html	etag:W/%222e2d3cf226f0f4ff241e3e8c46846c7a--gzip%22	https://www.indigenousoutsiders.com/	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/index.html	(from )
20:13:29	1992/1992	---M-Z	200	added ('OK')	text/css	etag:%228669bc07dbee438dd527d2a1d9b3880e%22	http://assets.squarespace.com/universal/styles-compressed/slide-normalize-f3e05d707a08546a77c65-min.en-US.css	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/assets.squarespace.com/universal/styles-compressed/slide-normalize-f3e05d707a08546a77c65-min.en-US.css	(from https://www.indigenousoutsiders.com/)
20:13:29	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Mon,%2025%20Nov%202024%2001:13:30%20GMT	http://static1.squarespace.com/static/590b8551d2b857ec8b6a8fe6/t/5a856fed24a69403d72fb391/1518694381470/WoodenMosquesLogo1.png?format=1500w	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/static1.squarespace.com/static/590b8551d2b857ec8b6a8fe6/t/5a856fed24a69403d72fb391/1518694381470/WoodenMosquesLogo1.126f7.delayed	(from https://www.indigenousoutsiders.com/)
20:13:29	3722/3722	---M--	200	added ('OK')	image/png	etag:CIfQ/dqSyOsCEAE=	https://images.squarespace-cdn.com/content/590b8551d2b857ec8b6a8fe6/1518694381243-6EHGZOITKBRCTWOPAYQI/WoodenMosquesLogo1.png?content-type=image%2Fpng	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/590b8551d2b857ec8b6a8fe6/1518694381243-6EHGZOITKBRCTWOPAYQI/WoodenMosquesLogo15d45.png	(from https://www.indigenousoutsiders.com/)
20:13:30	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.indigenousoutsiders.com/)
20:13:31	18717/18717	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2025%20Nov%202024%2001:13:30%20GMT	http://use.typekit.net/ik/3KNSBhmDHC2-jwRT5FdZ0G317iLmjnN793Oo9NOa8gCfelCff4e6pUJ6wRMU5QwXFmvu5QgK529uwAbkjR6uFhmR5eJhjQycZQj-G3I7O1wl-eBkSc8Dj14ydcsXSkoDSWmyScmDSeBRZPoRdhXC-Aoq-Ai8dcNuShNuiYFTZemkSkoRdhXCdeNRjAUGdaFXOYwl-eBkSc8Dj14ydcsXSkoDSWmyScmDSeBRZPoRdhXCiaiaOc80Ze81ZAoziWFziWsD-As8S1w0jhNlOYiaikoDOAyyS14TSh4kjAoqiYw0SaBujW48Sagyjh90jhNlJygcScmTZhyXOWFyd1wlSY4zJ68ciWsuScIlSYbKIAsTdKuRdhoqZAoDZAblihmKH6qJqcqbMg6BJMJ7fbKemsMgeMw6MKG4fJsmIMIjgfMfH6qJxubbMs6BJMJ7fbKgmsMgeMS6MKG4fJmmIMIj2KMfH6qJ689bMs6sJMJ7fbR_mgMfeMb6MTMgvpABuM9.js	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/use.typekit.net/ik/3KNSBhmDHC2-jwRT5FdZ0G317iLmjnN793Oo9NOa8gCfelCff4e6pUJ6wRMU5QwXFmvu5QgK529uwAbkjR6uFhmR5eJhjQycZQj-G3I7O1wl-eBkSc8Dj14ydcsXSkoDSWmyScmDSeBRZPoRdhXC-Aoq	(from https://www.indigenousoutsiders.com/)
20:13:33	46642/46642	---M-Z	200	added ('OK')	text/javascript	etag:%223f2a740c214357bfce22b5dc37666ba1%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-069e2954daea8a620b50-min.en-US.js	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-069e2954daea8a620b50-min.en-US.js	(from https://www.indigenousoutsiders.com/)
20:13:34	89248/89248	---M-Z	200	added ('OK')	text/javascript	etag:%2232aec26612873e1beb56c86851c4e816%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-32136deb9638cc6130b2-min.en-US.js	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-32136deb9638cc6130b2-min.en-US.js	(from https://www.indigenousoutsiders.com/)
20:13:36	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.indigenousoutsiders.com/)
20:13:47	245728/245728	---M-Z	200	added ('OK')	text/javascript	etag:%22e99f3bf72eaae471251ad87586359fe8%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-61293f01d648eef165fc-min.en-US.js	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-61293f01d648eef165fc-min.en-US.js	(from https://www.indigenousoutsiders.com/)
20:13:51	1196442/1196442	---M-Z	200	added ('OK')	text/javascript	etag:%2250d4789a0cb66d279781e1b02e14d541%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6c569122bfa66a51a056-min.en-US.js	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6c569122bfa66a51a056-min.en-US.js	(from https://www.indigenousoutsiders.com/)
20:13:51	30065/30065	---M-Z	200	added ('OK')	text/css	etag:%2267983decf02a121aa6033e507665b0ca%22	http://assets.squarespace.com/universal/styles-compressed/slides-1fda937e02e1f57cd4c0-min.en-US.css	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/assets.squarespace.com/universal/styles-compressed/slides-1fda937e02e1f57cd4c0-min.en-US.css	(from https://www.indigenousoutsiders.com/)
20:13:54	39515/39515	---M-Z	200	added ('OK')	text/javascript	etag:%2201cc3eb29f7be98951c3bafd0698e3e4%22	http://assets.squarespace.com/universal/scripts-compressed/performance-d9f618c1beaea97b6499-min.en-US.js	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/assets.squarespace.com/universal/scripts-compressed/performance-d9f618c1beaea97b6499-min.en-US.js	(from https://www.indigenousoutsiders.com/)
20:13:54	65729/65729	---M-Z	200	added ('OK')	text/html	etag:W/%2230a32925274bc32502fbd7918402a899%22	https://www.indigenousoutsiders.com/home	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/home.html	(from https://www.indigenousoutsiders.com/)
20:13:55	67291/67291	---M-Z	200	added ('OK')	text/html	etag:W/%22338909647eee035550ef883393fdb8a8%22	https://www.indigenousoutsiders.com/home-georgian	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/home-georgian.html	(from https://www.indigenousoutsiders.com/)
20:14:01	112084/112084	---M--	200	added ('OK')	image/svg+xml	etag:%22d58aa359d9e3928678765bc5f9f442ae%22	https://www.indigenousoutsiders.com/universal/svg/social-accounts.svg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/universal/svg/social-accounts.svg	(from https://www.indigenousoutsiders.com/)
20:14:09	671359/671359	---M-Z	200	added ('OK')	text/javascript	etag:%220b472825b11873c1466e1e9843ac0f08%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-be0091dc488b10891ed6-min.en-US.js	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/assets.squarespace.com/universal/scripts-compressed/common-vendors-be0091dc488b10891ed6-min.en-US.js	(from https://www.indigenousoutsiders.com/)
20:14:20	975558/975558	---M-Z	200	added ('OK')	text/javascript	etag:%2218f2ff59a0b8175192ff96525351cc16%22	http://assets.squarespace.com/universal/scripts-compressed/slides-72c627c9bad605b90c75-min.en-US.js	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/assets.squarespace.com/universal/scripts-compressed/slides-72c627c9bad605b90c75-min.en-US.js	(from https://www.indigenousoutsiders.com/)
20:14:25	1493487/1493487	---M-Z	200	added ('OK')	text/javascript	etag:%227144db63fd25bb6fdcc13d6fec04100f%22	http://assets.squarespace.com/universal/scripts-compressed/common-2d1a2dc371a8de03ebe4-min.en-US.js	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/assets.squarespace.com/universal/scripts-compressed/common-2d1a2dc371a8de03ebe4-min.en-US.js	(from https://www.indigenousoutsiders.com/)
20:14:26	16391/16391	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2025%20Nov%202024%2001:14:26%20GMT	http://use.typekit.net/ik/B1PyUV-CxTUxB6Ofm7KkBSBqGbIjgMtWKLJJTcXG5LCfezMgfFHN4UJLFRbh52jhWD9oweJtFQ9UZ24K529aZAwtjRZy5eZ8Fy7RMPG0SkuGjW4k-WFKScB0ZYsDO1FUiABkZWF3jAF8OcFzdPUTdcsTZhm0damDdamXSh8qZW4DOcFzdPUCdhFydeyzSabCSkuGjW4k-WFKScB0ZYsDO1FUiABkZWF3jAF8OcFzdPUaiaS0-Aoq-Ai8dcNuShNuiYFTZemkSkoRdhXCiaiaO1wl-eBkSc8Dj14ydcsXSkoDSWmyScmDSeBRZPoRdhXKIAsTdKuRdhoqZAoDZAblihmKH6qJrubbMg6IJMHbMpH_avqB.js	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/use.typekit.net/ik/B1PyUV-CxTUxB6Ofm7KkBSBqGbIjgMtWKLJJTcXG5LCfezMgfFHN4UJLFRbh52jhWD9oweJtFQ9UZ24K529aZAwtjRZy5eZ8Fy7RMPG0SkuGjW4k-WFKScB0ZYsDO1FUiABkZWF3jAF8OcFzdPUTdcsT	(from https://www.indigenousoutsiders.com/home)
20:14:26	540062/540062	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Nov%202024%2001:14:26%20GMT	https://static1.squarespace.com/static/sitecss/590b8551d2b857ec8b6a8fe6/68/50521cf884aeb45fa5cfdb80/590b8551d2b857ec8b6a8fec/960/site.css	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/static1.squarespace.com/static/sitecss/590b8551d2b857ec8b6a8fe6/68/50521cf884aeb45fa5cfdb80/590b8551d2b857ec8b6a8fec/960/site.css	(from https://www.indigenousoutsiders.com/home)
20:14:26	84977/84977	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2025%20Nov%202024%2001:14:27%20GMT	https://static1.squarespace.com/static/ta/5052176b84aeb45fa5cfcc83/960/scripts/site-bundle.js	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/static1.squarespace.com/static/ta/5052176b84aeb45fa5cfcc83/960/scripts/site-bundle.js	(from https://www.indigenousoutsiders.com/home)
20:14:26	55535/55535	---M-Z	200	added ('OK')	text/html	etag:W/%22934aa5cd7d7489e5671508ffeab88fcd%22	https://www.indigenousoutsiders.com/about	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/about.html	(from https://www.indigenousoutsiders.com/home)
20:14:27	68907/68907	---MCZ	200	added ('OK')	text/html	etag:W/%221b68d3e240d25a157aa452f641f34ac7--gzip%22	https://www.indigenousoutsiders.com/locations	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/locations.html	(from https://www.indigenousoutsiders.com/home)
20:14:27	137896/137896	---MCZ	200	added ('OK')	text/html	etag:W/%2204e165a17bb4244cc04a009b3eacbd26--gzip%22	https://www.indigenousoutsiders.com/exhibition	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/exhibition.html	(from https://www.indigenousoutsiders.com/home)
20:14:28	129133/129133	---M-Z	200	added ('OK')	text/html	etag:W/%22be7d5c4a6aee228fdadbc76aaa1cda6d%22	https://www.indigenousoutsiders.com/news	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/news.html	(from https://www.indigenousoutsiders.com/home)
20:14:28	44053/44053	---M-Z	200	added ('OK')	text/html	etag:W/%221b0715a28d68300bbc02cbe4541d0517%22	https://www.indigenousoutsiders.com/contact	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/contact.html	(from https://www.indigenousoutsiders.com/home)
20:14:29	60111/60111	---M-Z	200	added ('OK')	text/html	etag:W/%22c6b910ac67b84373cd5e1f08df6d3e98%22	https://www.indigenousoutsiders.com/about-georgian	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/about-georgian.html	(from https://www.indigenousoutsiders.com/home)
20:14:29	70971/70971	---M-Z	200	added ('OK')	text/html	etag:W/%22f4866f0617d7e650f838c24f4c24f3eb%22	https://www.indigenousoutsiders.com/082688748967	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/082688748967.html	(from https://www.indigenousoutsiders.com/home)
20:14:30	138551/138551	---M-Z	200	added ('OK')	text/html	etag:W/%22ea552947ffa685fae7ef1114d9cc3c61%22	https://www.indigenousoutsiders.com/exhibition-and-catalogue	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/exhibition-and-catalogue.html	(from https://www.indigenousoutsiders.com/home)
20:14:31	128166/128166	---M-Z	200	added ('OK')	text/html	etag:W/%225c1c70da20f9b21ccb9c9769e1435c80%22	https://www.indigenousoutsiders.com/news-georgian	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/news-georgian.html	(from https://www.indigenousoutsiders.com/home)
20:14:31	44569/44569	---M-Z	200	added ('OK')	text/html	etag:W/%22df9307c90e4b07df5bbadd75118ee205%22	https://www.indigenousoutsiders.com/574427493933	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/574427493933.html	(from https://www.indigenousoutsiders.com/home)
20:14:32	3722/3722	---M--	200	added ('OK')	image/png	etag:CIfQ/dqSyOsCEAE=	http://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518694381243-6EHGZOITKBRCTWOPAYQI/WoodenMosquesLogo1.png?format=1500w	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518694381243-6EHGZOITKBRCTWOPAYQI/WoodenMosquesLogo126f7.png	(from https://www.indigenousoutsiders.com/home)
20:14:32	72543/72543	---M-Z	200	added ('OK')	text/html	etag:W/%22c00c71036ccd08b6494d2462c766e314%22	https://www.indigenousoutsiders.com/akho	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/akho.html	(from https://www.indigenousoutsiders.com/home)
20:14:32	959267/959267	---M--	200	added ('OK')	image/jpeg	etag:CJXqi6nuxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016300304-F6U9HARDDKP4T3GJJL0V/AKHO_Exterior.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016300304-F6U9HARDDKP4T3GJJL0V/AKHO_Exterior.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:33	80293/80293	---MCZ	200	added ('OK')	text/html	etag:W/%22cf989c17ac39633e153202b3605db7cc--gzip%22	https://www.indigenousoutsiders.com/beghleti	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/beghleti.html	(from https://www.indigenousoutsiders.com/home)
20:14:34	1564323/1564323	---M--	200	added ('OK')	image/jpeg	etag:CJ7Z1deSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016307885-6UZ3HE9T1W0P3PADVX2B/BEGHLETI_CUSTOM_Photo.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016307885-6UZ3HE9T1W0P3PADVX2B/BEGHLETI_CUSTOM_Photo.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:34	1423289/1423289	---M--	200	added ('OK')	image/jpeg	etag:CIzGn6juxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016317868-S2RI36TYG0SC6S8HO6V6/BEGHLETI_Exterior+copy.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016317868-S2RI36TYG0SC6S8HO6V6/BEGHLETI_Exterior+copy.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:34	67340/67340	---MCZ	200	added ('OK')	text/html	etag:W/%22a6498dd5e740052f240c2b8ea38deef3--gzip%22	https://www.indigenousoutsiders.com/chao	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/chao.html	(from https://www.indigenousoutsiders.com/home)
20:14:35	977563/977563	---M--	200	added ('OK')	image/jpeg	etag:CITt95KSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016358111-AYCAZ7XS3WIB5UADZOYR/CHAO_A0_Photo.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016358111-AYCAZ7XS3WIB5UADZOYR/CHAO_A0_Photo.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:35	68449/68449	---MCZ	200	added ('OK')	text/html	etag:W/%229d4426b68865ade9bedba7f8b85893a0--gzip%22	https://www.indigenousoutsiders.com/chvana	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/chvana.html	(from https://www.indigenousoutsiders.com/home)
20:14:35	782437/782437	---M--	200	added ('OK')	image/jpeg	etag:CKHLl+DvxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016328167-CNL8TGVJC5521RQDB7ZG/CHVANA_+DSC_0505.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016328167-CNL8TGVJC5521RQDB7ZG/CHVANA_+DSC_0505.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:36	79337/79337	---M-Z	200	added ('OK')	text/html	etag:W/%22625fb8345659d33ac582fc7e3d1206dd%22	https://www.indigenousoutsiders.com/dghvani	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/dghvani.html	(from https://www.indigenousoutsiders.com/home)
20:14:36	1036897/1036897	---M--	200	added ('OK')	image/jpeg	etag:CMT/99/vxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016341288-3FNTCKKE7979AOVA1NHU/DGHVANI_+DSC_0185.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016341288-3FNTCKKE7979AOVA1NHU/DGHVANI_+DSC_0185.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:36	2036523/2036523	---M--	200	added ('OK')	image/jpeg	etag:CLOj8pOSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016366074-LG9QBGPB1QLK00RRSSIY/DGHVANI_A2-1.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016366074-LG9QBGPB1QLK00RRSSIY/DGHVANI_A2-1.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:37	903700/903700	---M--	200	added ('OK')	image/jpeg	etag:CLyG7d/vxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016369420-B617ACDX77GINJS8TQEJ/DSC_9932.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016369420-B617ACDX77GINJS8TQEJ/DSC_9932.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:37	902695/902695	---M--	200	added ('OK')	image/jpeg	etag:CJGF25GSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016376800-0WGH2AS36VZJ9A1227P2/GEGELIDZEEBI_+DSC_0577.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016376800-0WGH2AS36VZJ9A1227P2/GEGELIDZEEBI_+DSC_0577.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:37	82630/82630	---M-Z	200	added ('OK')	text/html	etag:W/%22ad100558d300ecbcf44903041232fcd5--gzip%22	https://www.indigenousoutsiders.com/ghorjomi	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/ghorjomi.html	(from https://www.indigenousoutsiders.com/home)
20:14:38	507002/507002	---M--	200	added ('OK')	image/jpeg	etag:CMCam6ruxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016376005-GXGQVU6BC80G5AQQ8C5O/GHORJOMI_+DSC_0846.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016376005-GXGQVU6BC80G5AQQ8C5O/GHORJOMI_+DSC_0846.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:39	4229408/4229408	---M--	200	added ('OK')	image/jpeg	etag:CNew7diSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016426656-GPJX7HMWNAO9MR7OTP44/GHORJOMI_2.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016426656-GPJX7HMWNAO9MR7OTP44/GHORJOMI_2.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:39	1060277/1060277	---M--	200	added ('OK')	image/jpeg	etag:CIeH+9iSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016416898-IEYJ4QXF5ONIIIS9TROA/GOGINAURI_+IMG_0534.JPG	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016416898-IEYJ4QXF5ONIIIS9TROA/GOGINAURI_+IMG_0534.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:39	545850/545850	---M--	200	added ('OK')	image/jpeg	etag:CKe93+DvxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016435383-252VHY9L446JU85WL0HC/KHULO_+DSC_9878.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016435383-252VHY9L446JU85WL0HC/KHULO_+DSC_9878.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:40	1366093/1366093	---M--	200	added ('OK')	image/jpeg	etag:CKTht6ruxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016435601-WN6UDM53JDDIQPJ0YRC8/KHIKHADZIRI_+DSC_9957.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016435601-WN6UDM53JDDIQPJ0YRC8/KHIKHADZIRI_+DSC_9957.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:40	65381/65381	---M-Z	200	added ('OK')	text/html	etag:W/%2254a79af0255b26d1743ef79af541f68f%22	https://www.indigenousoutsiders.com/kvirike	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/kvirike.html	(from https://www.indigenousoutsiders.com/home)
20:14:40	1126827/1126827	---M--	200	added ('OK')	image/jpeg	etag:CLTQoaruxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016449056-6UPCR1V5UOKGBQKV0K2Q/KVIRIKE_Exterior.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016449056-6UPCR1V5UOKGBQKV0K2Q/KVIRIKE_Exterior.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:41	65346/65346	---M-Z	200	added ('OK')	text/html	etag:W/%2263d60c68f387a9d3128e44780f6cbf4d%22	https://www.indigenousoutsiders.com/pirveli-maisi	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/pirveli-maisi.html	(from https://www.indigenousoutsiders.com/home)
20:14:41	989944/989944	---M--	200	added ('OK')	image/jpeg	etag:CN+8ruLvxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016448290-3B7XOH3X46H903U7QAY6/MAKHALAKIDZEEBI_+DSC_0423.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016448290-3B7XOH3X46H903U7QAY6/MAKHALAKIDZEEBI_+DSC_0423.jpg	(from https://www.indigenousoutsiders.com/home)
20:14:41	1172424/1172424	---M--	200	added ('OK')	image/jpeg	etag:CKLmo5GSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016520887-1FIEDRSY7MREHGBTGN4M/PIRVELI+MAISI_A0.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1518016520887-1FIEDRSY7MREHGBTGN4M/PIRVELI+MAISI_A0.jpg	(from https://www.indigenousoutsiders.com/home)
